case,n_bus,model,cold_converged,cold_iters,cold_rt_s,warm_converged,warm_iters,warm_rt_s,iter_reduction_pct,rt_speedup,gnn_mape_vm_pct,v_violations_warm
case14,14,GCN,True,4,1.469379186630249,True,4,0.02979421615600586,0.0,49.3175983867612,1.5714261531829834,0
case14,14,GraphSAGE,True,4,1.469379186630249,True,4,0.02911996841430664,0.0,50.45950482241399,1.6237590312957764,0
case14,14,GAT,True,4,1.469379186630249,True,4,0.0389406681060791,0.0,37.733794978234116,1.572484016418457,0
case14,14,GCN,True,4,0.029770612716674805,True,4,0.027355194091796875,0.0,1.0882983544833356,1.460476279258728,0
case14,14,GraphSAGE,True,4,0.029770612716674805,True,4,0.02725386619567871,0.0,1.0923445687641609,1.5129497051239014,0
case14,14,GAT,True,4,0.029770612716674805,True,4,0.02832627296447754,0.0,1.0509894031596934,1.4615371227264404,0
case118,118,GCN,True,4,0.03553485870361328,True,5,0.03561663627624512,-25.0,0.9977039501429174,1.1273748874664307,1
case118,118,GraphSAGE,True,4,0.03553485870361328,True,5,0.032678842544555664,-25.0,1.0873964907160836,1.1864197254180908,1
case118,118,GAT,True,4,0.03553485870361328,True,5,0.034806013107299805,-25.0,1.0209402207045832,1.1285147666931152,1
case14,14,GCN,True,4,0.029451370239257812,True,4,0.027397632598876953,0.0,1.0749604051725639,1.4174079895019531,0
case14,14,GraphSAGE,True,4,0.029451370239257812,True,4,0.03229475021362305,0.0,0.9119553501557724,1.4699360132217407,0
case14,14,GAT,True,4,0.029451370239257812,True,4,0.027671337127685547,0.0,1.0643276869259535,1.4184699058532715,0
case118,118,GCN,True,4,0.03804802894592285,True,5,0.03608441352844238,-25.0,1.0544172739826494,1.144484281539917,1
case118,118,GraphSAGE,True,4,0.03804802894592285,True,5,0.04154539108276367,-25.0,0.915818288245894,1.1966155767440796,1
case118,118,GAT,True,4,0.03804802894592285,True,5,0.03337216377258301,-25.0,1.1401127360276624,1.1454541683197021,1
case118,118,GCN,True,4,0.05266261100769043,True,5,0.053296804428100586,-25.0,0.9881007233507647,1.204153060913086,1
case118,118,GraphSAGE,True,4,0.05266261100769043,True,5,0.051236629486083984,-25.0,1.0278312905417353,1.2595434188842773,1
case118,118,GAT,True,4,0.05266261100769043,True,5,0.05165815353393555,-25.0,1.0194443162412885,1.2052079439163208,1
case14,14,GCN,True,4,0.04465126991271973,True,4,0.04512977600097656,0.0,0.9893971091669836,1.5339998006820679,0
case14,14,GraphSAGE,True,4,0.04465126991271973,True,4,0.046158790588378906,0.0,0.9673405508150658,1.5863802433013916,0
case14,14,GAT,True,4,0.04465126991271973,True,4,0.04207015037536621,0.0,1.0613527528264997,1.5350587368011475,0
case14,14,GCN,True,4,0.030238628387451172,True,4,0.026945829391479492,0.0,1.122200691919058,1.4324073791503906,0
case14,14,GraphSAGE,True,4,0.030238628387451172,True,4,0.02739691734313965,0.0,1.1037237514250158,1.4849164485931396,0
case14,14,GAT,True,4,0.030238628387451172,True,4,0.02882218360900879,0.0,1.049144256301235,1.4334686994552612,0
case30,30,GCN,True,3,0.02480483055114746,True,4,0.023608684539794922,-33.33333333333333,1.05066550867484,3.332165241241455,0
case30,30,GraphSAGE,True,3,0.02480483055114746,True,4,0.024751901626586914,-33.33333333333333,1.0021383781076316,3.2099950313568115,0
case30,30,GAT,True,3,0.02480483055114746,True,4,0.026227235794067383,-33.33333333333333,0.9457661015408391,3.3296878337860107,0
case14,14,GCN,True,4,0.029531240463256836,True,4,0.03361320495605469,0.0,0.8785606877376156,1.4020287990570068,0
case14,14,GraphSAGE,True,4,0.029531240463256836,True,4,0.027045011520385742,0.0,1.091929298717327,1.4545763731002808,0
case14,14,GAT,True,4,0.029531240463256836,True,4,0.025986909866333008,0.0,1.1363890749286678,1.4030911922454834,0
case14,14,GCN,True,4,0.03112626075744629,True,4,0.027977466583251953,0.0,1.1125475090757249,1.4347343444824219,0
case14,14,GraphSAGE,True,4,0.03112626075744629,True,4,0.026510953903198242,0.0,1.1740905616259725,1.4872404336929321,0
case14,14,GAT,True,4,0.03112626075744629,True,4,0.027892112731933594,0.0,1.1159520634595002,1.4357959032058716,0
case30,30,GCN,True,3,0.024613380432128906,True,4,0.024713993072509766,-33.33333333333333,0.9959289201026452,2.582106113433838,0
case30,30,GraphSAGE,True,3,0.024613380432128906,True,4,0.02448439598083496,-33.33333333333333,1.0052680266809484,2.485877752304077,0
case30,30,GAT,True,3,0.024613380432128906,True,4,0.02541637420654297,-33.33333333333333,0.9684064387827849,2.5801610946655273,0
case14,14,GCN,True,4,0.029910564422607422,True,4,0.026851654052734375,0.0,1.1139188805228015,1.415191650390625,0
case14,14,GraphSAGE,True,4,0.029910564422607422,True,4,0.02772831916809082,0.0,1.0787009569995099,1.4677224159240723,0
case14,14,GAT,True,4,0.029910564422607422,True,4,0.027116775512695312,0.0,1.1030280649926145,1.4162534475326538,0
case30,30,GCN,True,3,0.02546405792236328,True,4,0.024369478225708008,-33.33333333333333,1.0449160087268743,2.2309632301330566,0
case30,30,GraphSAGE,True,3,0.02546405792236328,True,4,0.024112701416015625,-33.33333333333333,1.0560433475715867,2.1559689044952393,0
case30,30,GAT,True,3,0.02546405792236328,True,4,0.024938106536865234,-33.33333333333333,1.021090269412417,2.2293689250946045,0
case118,118,GCN,True,4,0.05057501792907715,True,5,0.05234956741333008,-25.0,0.9661019264926902,1.2368464469909668,1
case118,118,GraphSAGE,True,4,0.05057501792907715,True,5,0.05292773246765137,-25.0,0.9555485483907296,1.2942571640014648,1
case118,118,GAT,True,4,0.05057501792907715,True,5,0.05030679702758789,-25.0,1.005331703017033,1.2378571033477783,1
case14,14,GCN,True,4,0.04571700096130371,True,4,0.04906916618347168,0.0,0.9316848953651651,1.4694823026657104,0
case14,14,GraphSAGE,True,4,0.04571700096130371,True,4,0.046911001205444336,0.0,0.9745475429332331,1.5219444036483765,0
case14,14,GAT,True,4,0.04571700096130371,True,4,0.0467228889465332,0.0,0.9784711945705975,1.4705427885055542,0
case118,118,GCN,True,4,0.03397345542907715,True,5,0.034667253494262695,-25.0,0.9799869330490698,1.1829642057418823,1
